ds,y
2023-07-01,130730.55
2023-07-02,26821.88
2023-07-03,106960.31
2023-07-04,93543.94
2023-07-05,99810.64
2023-07-06,95500.74
2023-07-07,119638.5
2023-07-08,97810.74
2023-07-09,17410.58
2023-07-10,81404.83
2023-07-11,91245.0
2023-07-12,67428.53
2023-07-13,97497.49
2023-07-14,174830.85
2023-07-15,138325.81
2023-07-16,19375.12
2023-07-17,150787.97
2023-07-18,96101.05
2023-07-19,72813.91
2023-07-20,81121.34
2023-07-21,103079.88
2023-07-22,117000.52
2023-07-23,14922.39
2023-07-24,69803.14
2023-07-25,127541.97
2023-07-26,99671.9
2023-07-27,92280.31
2023-07-28,136434.54
2023-07-29,152688.64
2023-07-30,26494.5
2023-07-31,122439.79
2023-08-01,124581.77
2023-08-02,101423.36
2023-08-03,115308.31
2023-08-04,125064.38
2023-08-05,127002.58
2023-08-06,15222.59
2023-08-07,93835.47
2023-08-08,86097.01
2023-08-09,27191.74
2023-08-10,67122.96
2023-08-11,90409.44
2023-08-12,69862.69
2023-08-13,13949.9
2023-08-14,74035.98
2023-08-15,125089.56999999999
2023-08-16,106618.09
2023-08-17,85210.82
2023-08-18,91868.39
2023-08-19,90708.39
2023-08-20,10128.1
2023-08-21,58393.76
2023-08-22,74051.62
2023-08-23,88560.57
2023-08-24,86090.20999999999
2023-08-25,160278.92
2023-08-26,158243.48
2023-08-27,33566.5
2023-08-28,94326.9
2023-08-29,108685.3
2023-08-30,72692.64
2023-08-31,152635.12
2023-09-01,146200.94
2023-09-02,128806.13
2023-09-04,100624.66
2023-09-05,95905.53
2023-09-06,88248.63
2023-09-07,79321.33
2023-09-08,109011.94
2023-09-09,75416.88
2023-09-11,82077.21
2023-09-12,68453.52
2023-09-13,66393.42
2023-09-14,66525.84
2023-09-15,133472.14
2023-09-16,83405.59
2023-09-18,95032.11
2023-09-19,73629.07
2023-09-20,92122.66
2023-09-21,65943.28
2023-09-22,154992.48
2023-09-23,128642.44
2023-09-25,39871.43
2023-09-26,100510.04
2023-09-27,88802.67
2023-09-28,87290.01
2023-09-29,149151.38
2023-09-30,128821.11
2023-10-02,116740.66
2023-10-03,120889.17
2023-10-04,101860.73
2023-10-05,91808.02
2023-10-06,139274.39
2023-10-07,99799.11
2023-10-09,129345.29
2023-10-10,83668.04
2023-10-11,73449.85
2023-10-12,76174.36
2023-10-13,136774.84
2023-10-14,89415.99
2023-10-16,83044.78
2023-10-17,70161.84
2023-10-18,75092.1
2023-10-19,74285.78
2023-10-20,86451.66
2023-10-21,86679.14
2023-10-23,66557.86
2023-10-24,64655.86
2023-10-25,113425.7
2023-10-26,126190.06
2023-10-27,142511.93
2023-10-28,132285.01
2023-10-30,88504.38
2023-10-31,113004.74
2023-11-01,108229.56999999999
2023-11-02,110792.3
2023-11-03,129514.42
2023-11-04,118913.81
2023-11-06,81425.74
2023-11-07,70266.75
2023-11-08,78583.31
2023-11-09,82732.8
2023-11-10,95601.96
2023-11-11,61360.64
2023-11-13,62257.46
2023-11-14,55065.07
2023-11-15,90126.08
2023-11-16,81051.34
2023-11-17,99116.06999999999
2023-11-18,71829.44
2023-11-20,99503.84
2023-11-21,102831.15
2023-11-22,62717.16
2023-11-23,77623.29
2023-11-24,148369.26
2023-11-25,129973.76
2023-11-27,83213.72
2023-11-28,95073.05
2023-11-29,67116.88
2023-11-30,134451.13
2023-12-01,145108.53
2023-12-02,116432.36
2023-12-04,106002.85
2023-12-05,99304.26
2023-12-06,121136.83
2023-12-07,124894.44
2023-12-08,100696.97
2023-12-09,77783.14
2023-12-11,91464.8
2023-12-12,77460.92
2023-12-13,100764.73
2023-12-14,190697.94
2023-12-15,163770.64
2023-12-16,83305.96
2023-12-18,226325.24
2023-12-19,164007.04
2023-12-20,176877.6
2023-12-21,196730.92
2023-12-22,231367.63
2023-12-23,157988.79
2023-12-24,46608.96
2023-12-27,106794.95
2023-12-28,121224.13
2023-12-29,153521.23
2023-12-30,94709.86
2023-12-31,28697.4
2024-01-02,77525.83
2024-01-03,80532.38
2024-01-04,81504.89
2024-01-05,100722.04
2024-01-06,78096.36
2024-01-08,96727.71
2024-01-09,93446.85
2024-01-10,68707.95
2024-01-11,82976.5
2024-01-12,111905.33
2024-01-13,100954.05
2024-01-15,190390.93
2024-01-16,192248.96
2024-01-17,106567.51
2024-01-18,111013.69
2024-01-19,91365.91
2024-01-20,98885.16
2024-01-22,78846.5
2024-01-23,85383.97
2024-01-24,83815.13
2024-01-25,113524.15
2024-01-26,151168.06
2024-01-27,153968.64
2024-01-29,113668.67
2024-01-30,82719.06
2024-01-31,133238.03
2024-02-01,123371.88
2024-02-02,142970.98
2024-02-03,132345.74
2024-02-05,110337.49
2024-02-06,95889.34
2024-02-07,91183.81
2024-02-08,71956.04
2024-02-09,98714.3
2024-02-10,96614.8
2024-02-12,67856.47
2024-02-13,69718.72
2024-02-14,59855.159999999996
2024-02-15,111348.52
2024-02-16,116367.75
2024-02-17,104387.7
2024-02-19,78567.12
2024-02-20,82201.07
2024-02-21,57374.03
2024-02-22,75838.56
2024-02-23,124263.54
2024-02-24,137824.56
2024-02-26,96786.96
2024-02-27,83792.03
2024-02-28,81228.78
2024-02-29,74177.93
2024-03-01,138370.64
2024-03-02,115738.03
2024-03-04,123286.26
2024-03-05,105588.67
2024-03-06,79163.68000000001
2024-03-07,91004.67
2024-03-08,89170.89
2024-03-09,77298.91
2024-03-11,73259.76
2024-03-12,73670.63
2024-03-13,54983.12
2024-03-14,73391.68000000001
2024-03-15,108292.44
2024-03-16,87490.52
2024-03-18,72025.34
2024-03-19,72695.64
2024-03-20,101832.66
2024-03-21,49979.24
2024-03-22,119153.28
2024-03-23,99069.15
2024-03-25,91172.07
2024-03-26,111590.96
2024-03-27,127844.84999999999
2024-03-28,195843.17
2024-03-30,107001.76
2024-04-01,40877.23
2024-04-02,156600.19
2024-04-03,119681.35
2024-04-04,65893.47
2024-04-05,130649.72
2024-04-06,97115.04000000001
2024-04-08,93584.34
2024-04-09,67836.98
2024-04-10,58348.34
2024-04-11,46325.45
2024-04-12,99091.37
2024-04-13,61991.53
2024-04-15,87689.68
2024-04-16,79497.33
2024-04-17,70522.38
2024-04-18,78467.93
2024-04-19,85728.26
2024-04-20,70802.58
2024-04-22,63598.43
2024-04-23,87756.55
2024-04-24,70539.84
2024-04-25,102563.9
2024-04-26,151254.97
2024-04-27,104515.83
2024-04-29,99997.8
2024-04-30,142442.6
2024-05-01,52753.0
2024-05-02,125476.78
2024-05-03,134860.84
2024-05-04,98894.26
2024-05-06,84436.6
2024-05-07,98091.7
2024-05-08,83979.92
2024-05-09,75176.5
2024-05-10,89245.04
2024-05-11,67351.63
2024-05-13,72062.09
2024-05-14,71321.16
2024-05-15,113830.93
