product_desc,revenue,qty,mass_kg,transactions,cum_revenue,cum_pct,rank,abc_class
Shoulder Ribs Smoked P/Kg,5059321.67,36810.0,69528.77,3554,5059321.67,5.147729613341266,1,A
Russian Sausages 2kg,4478243.74,33066.0,66100.0,3579,9537565.41,9.704227385138042,2,A
Pork Meaty Bones 10Kg (Unit),3365763.24,13261.0,132520.0,3003,12903328.65,13.128804874405187,3,A
RTE: Mini Ribs p/kg,2880406.41,63396.0,25391.65,3370,15783735.06,16.059544278293494,4,A
Vienna 1 kg COMBO DEAL,2752264.13,27562.0,0.0,2682,18535999.19,18.859902209624227,5,A
Hamper 19 (4.65 Kg),2303189.4,11003.0,51104.47,2963,20839188.59,21.203338158719294,6,A
Eskort Chicken Viennas 2kg,2229030.92,16271.0,32532.0,3246,23068219.509999998,23.471319762651845,7,A
Econo Hamper,1682072.66,8101.0,40910.05,2695,24750292.169999998,25.182785411301484,8,A
Bacon Cutts 500g Promo,1662254.86,19125.0,0.0,2155,26412547.029999997,26.874086958400472,9,A
Eskort Smoked Viennas 2kg,1526561.82,14231.0,28462.0,3090,27939108.849999998,28.42732432893717,10,A
Breakfast Hamper,1317006.8,5478.0,30104.54,2198,29256115.65,29.76734485886956,11,A
Value Hamper,1307934.96,11070.0,34813.5,2827,30564050.61,31.098135025037493,12,A
Eskort Econo Russians 3kg,1257501.12,7619.0,22620.0,2537,31821551.73,32.3776100567632,13,A
Value Add Special P/Kg,1173807.28,28168.0,19355.91,2030,32995359.01,33.57192875988918,14,A
Executive Hamper,1156266.02,4020.0,26753.920000000002,1953,34151625.03,34.74839968233485,15,A
Champion Russian 2kg,1063304.81,7857.0,15712.0,2318,35214929.84,35.83028496567269,16,A
Chicken Polony 2.5kg,1061820.02,10592.0,26480.0,2990,36276749.86000001,36.91065951339198,17,A
French Polony 2.5kg,861819.89,11860.0,29630.0,2615,37138569.75000001,37.787539075216614,18,A
Pork Rib Burger Plain P/Kg (6kg),846319.45,1957.0,11470.0,681,37984889.20000001,38.6486473381968,19,A
RTE: Pork Stew & Pap 500g,842048.14,24222.0,109.44000000000001,1999,38826937.34000001,39.50540965316084,20,A
Toplay Large 60's Eggs,805578.4400000001,5799.0,22036.2,2080,39632515.78000001,40.325064986809004,21,A
Chicken Vienna 1kg,803278.9,11975.0,11975.0,2793,40435794.68000001,41.142380597678674,22,A
Eskort Red Vienna 2kg,789992.7,7544.0,15088.0,2558,41225787.38000001,41.946177841927316,23,A
Pork Meaty Bones 2kg Unit,785934.92,14683.0,29320.0,2893,42011722.30000001,42.74584639944028,24,A
RTE: Pork Meat of the day,757823.83,22846.0,4845.39,3239,42769546.13000001,43.516912646229585,25,A
Supreme Crumbed Nuggests 1kg,736962.71,9397.0,9397.0,2491,43506508.84000001,44.26675324021483,26,A
Smoked Spare Ribs p/kg,670741.98,7010.0,5555.48,2037,44177250.82000001,44.94921594540929,27,A
Pig Trotters Sliced 2 Kg,662566.7,11687.0,23374.0,2904,44839817.52000001,45.623360513569125,28,A
Pre-Cooked Marinated Cocktail Ribs 1Kg,653555.52,7682.0,7682.0,2082,45493373.040000014,46.288336437953596,29,A
Smoked Viennas 1kg,632444.75,41338.0,41338.0,2618,46125817.790000014,46.93183269708298,30,A
Pig Head P/kg No Cheeks,608543.87,6242.0,28210.99,1947,46734361.66000001,47.55101042582706,31,A
Supreme Crumbed Patties 1kg,604497.72,7663.0,7663.0,2317,47338859.38000001,48.166071301061194,32,A
Pork Trotters Mixed 10Kg,587436.98,2252.0,22670.0,1051,47926296.36000001,48.763773312350345,33,A
Eskort Marinated Rib Burger Catering 800g,586621.63,9595.0,7636.8,1542,48512917.99000001,49.360645725994985,34,A
French Polony 1Kg Combo Deal,572209.42,8180.0,0.0,1649,49085127.41000001,49.94285408681796,35,A
RTE: Pork Chop & Pap 500g,556419.29,13011.0,2782.0,1042,49641546.70000001,50.508996396675734,36,A
