product_desc,revenue,qty,mass_kg,transactions,cum_revenue,cum_pct,rank,abc_class
BC - Pepsi Cola 330ml,14246.89,1939.0,639.87,1124,94547709.88000005,96.199861912096,526,C
BC - Pepsi Max 330ml,10434.210000000001,1453.0,479.49,951,95663871.81000009,97.33552795492054,617,C
Switch - Bok Can 500ml,15554.04,1405.0,702.5,940,94250068.7100001,95.89701968048942,506,C
Switch Element 500ml,15779.25,1427.0,713.5,923,94124683.6700001,95.76944362868286,498,C
Pepsi Max 500ml,15198.550000000001,1430.0,715.0,840,94373211.54000007,96.02231434131724,514,C
Pepsi Cola 500ml,18092.190000000002,1697.0,848.5,822,93583192.06000012,95.21848984910774,466,C
Bonaqua Peach 750ml,16729.79,1143.0,857.25,819,93896711.61000012,95.53748792378371,484,C
Clover Aquartz Still Water 500ml,12485.94,1105.0,552.5,776,95028991.94000006,96.68955402385134,562,C
Reboost Dry Lemon Burst 500ml,11246.66,1086.0,543.0,774,95492863.80000007,97.16153170510397,601,C
Crunchie 40g,15763.07,1098.0,43.92,768,94156225.56000009,95.80153669012556,500,C
Switch - Cranberry & Cherry 500ml,16059.85,1543.0,771.5,768,94061167.32000011,95.70481737695329,494,C
Switch - Jelly Babies 500ml,13049.67,1185.0,592.5,766,94915037.19000004,96.57360799799686,553,C
Reboost Energy Normal 500ml,11416.84,1102.0,551.0,757,95447677.89000008,97.1155562043976,597,C
Switch Original 500ml,11585.0,1039.0,519.5,732,95355612.94000006,97.02188248677732,589,C
Creme Soda 440ml,17216.63,1309.0,575.96,724,93795466.71000011,95.43447384325584,478,C
