debtor_name,recency,frequency,monetary,segment
Polokwane Meat World (Pty) Ltd,2,134,662656.53,Champions
Radima Enterprise(CASH),5,172,538523.81,Champions
Duroc Foods,769,127,460041.17,Loyal
United Food Company (Pty) Ltd(CASH),1,221,374041.87,Champions
Firefly Foods,8,102,291044.58,Champions
Pincode Restuarant and Catering (CASH),29,138,268609.21,Champions
Glendas TakeFive Catering Pty Ltd(CASH),4,98,267885.83,Champions
SSG Facilities (Pty) Ltd (CASH),15,12,212120.74,Champions
Welgelegn Slaghuis T/A The SteakHouse(CASH),44,19,190771.80000000002,Loyal
Vleis Lapa Marshall Street,23,22,188381.69,Champions
